0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
20.761,23.81,56.18,21.98,32.98,48.85,39.081,35.42
20.761,23.2,56.79,21.98,32.98,48.85,39.081,35.42
20.761,22.59,56.79,21.98,32.98,48.24,39.691,36.03
20.151,23.2,56.18,21.98,33.59,48.85,40.302,37.25
20.151,22.59,56.18,21.37,32.98,48.85,40.91,36.64
20.151,22.59,56.18,21.37,33.59,48.24,40.91,36.64
20.151,23.2,56.79,21.98,32.98,48.24,41.52,36.64
20.151,22.59,56.79,21.37,33.59,48.24,42.13,37.25
19.541,22.59,56.18,21.37,33.59,48.24,42.13,37.86
18.931,22.59,56.18,21.98,34.2,47.63,43.36,37.86
18.931,21.98,56.18,21.98,33.59,48.24,42.74,37.25
18.931,22.59,56.79,21.98,33.59,47.63,43.97,37.86
18.931,21.98,56.18,21.98,33.59,47.63,43.97,37.86
18.321,21.37,55.57,21.98,33.59,47.63,44.58,37.86
18.321,21.98,55.57,21.98,33.59,47.63,43.97,37.86
18.321,21.37,56.18,21.98,32.98,47.02,44.58,37.86
18.321,21.37,56.18,21.98,34.2,46.41,44.58,37.86
18.321,20.76,55.57,20.76,33.59,46.41,45.19,37.86
18.321,20.76,55.57,21.37,33.59,46.41,45.19,37.86
17.711,21.37,55.57,21.37,33.59,46.41,45.19,37.86
17.711,20.15,55.57,20.76,34.2,46.41,45.8,37.86
17.101,20.15,54.96,21.37,33.59,46.41,46.41,38.47
17.101,20.15,54.96,20.76,33.59,46.41,45.8,38.47
17.101,20.15,54.96,20.76,33.59,45.8,45.8,38.47
16.491,20.15,54.35,20.76,33.59,45.8,46.41,38.47
16.491,20.15,54.96,19.54,32.98,45.8,45.8,38.47
16.491,19.54,54.96,20.76,32.98,45.19,46.41,38.47
15.881,18.93,54.35,20.15,32.98,45.19,46.41,38.47
15.881,18.93,54.35,20.15,32.98,45.19,46.41,38.47
15.271,18.93,54.35,19.54,32.98,44.58,47.02,38.47
15.271,18.93,53.74,20.15,32.98,44.58,46.41,38.47
14.651,18.32,53.74,19.54,32.98,44.58,46.41,38.47
14.651,18.32,53.74,19.54,31.76,44.58,46.41,38.47
